Name,2 Pieces,3 Pieces,4 Pieces,5 Pieces,6 Pieces,7 Pieces,8 Pieces,9 Pieces,10 Pieces
Apophis' Warrior Set,5 Power Pip,4 Resist,7 Damage,None,None,None,None,None,None
Arcane Engineer's Set,None,None,500 Health,50 Stun Resist,None,None,None,None,None
Celestian Tempest Set,53 Health,None,None,None,"50 Critical, 281 Health",None,None,None,None
Celestian Totality Set,53 Health,None,None,None,"19 Critical, 281 Health",None,None,None,None
Charon's Set,None,None,9 Power Pip,None,2 Pierce,None,None,None,None
Cold Rider Set,3 Resist,None,None,"35 Critical Block, 11 Power Pip, 4 Pierce",None,None,None,None,None
Dragonspyre Dragoon's Set,3 Accuracy,"2 Damage, 140 Pip Conserve",None,12 Power Pip,None,"3 Damage, 101 Critical Block, 25 Stun Resist",None,None,None
Dragoon's Shocking Set,7 Accuracy,"5 Damage, 140 Pip Conserve",None,10 Power Pip,None,"7 Damage, 101 Critical Block, 25 Stun Resist",None,None,None
Fossil Avenger's Set,5 Damage,8 Stun Resist,5 Resist,17 Power Pip,None,None,None,None,None
Fossil Hunter's Set,None,10 Stun Resist,7 Resist,15 Power Pip,None,None,None,None,None
Fossil Warrior's Set,6 Damage,6 Stun Resist,6 Resist,16 Power Pip,None,None,None,None,None
Haros' Set,None,None,10 Power Pip,None,2 Pierce,None,None,None,None
Krokotopian Set,1 Damage,2 Accuracy,19 Health,None,None,None,None,None,None
Krokotopian Storm Set,4 Damage,3 Accuracy,19 Health,None,None,None,None,None,None
Road Fury Set,3 Resist,None,None,"11 Power Pip, 4 Pierce, 32 Critical Block",None,None,None,None,None
Setesh's Warrior Set,6 Power Pip,4 Resist,None,None,None,None,None,None,None
Sky Sorcerer's Set,None,225 Health,"3 Incoming, 3 Outgoing","5 Pierce, 20 Stun Resist",None,None,None,None,None
Sokar's Warrior Set,4 Power Pip,4 Resist,None,None,None,None,None,None,None
Stygian Set,2 Pierce,None,8 Power Pip,8 Damage,2 Pierce,None,None,None,None
Sweetish Chef Set,None,4 Damage,5 Resist,"6 Outgoing, 8 Power Pip",None,None,None,None,None
Thunder Road Set,3 Resist,5 Damage,None,"28 Critical Block, 11 Power Pip, 4 Pierce",None,None,None,None,None
